file,source,minx,miny,maxx,maxy,pixels
doodle_01.png,Picture 1.png,3599,141,3921,241,3033
doodle_02.png,Picture 1.png,3712,384,4304,940,24860
doodle_03.png,Picture 1.png,2,385,858,1256,31104
doodle_04.png,Picture 1.png,3947,1260,4237,1364,2905
doodle_05.png,Picture 1.png,3949,1367,4245,1462,2670
doodle_06.png,Picture 1.png,3210,1724,4040,2395,37081
doodle_07.png,Picture 1.png,1664,1848,2049,2233,7887
doodle_08.png,Picture 2.png,1215,9,1267,120,1865
doodle_09.png,Picture 2.png,172,132,234,254,2053
doodle_10.png,Picture 3.png,3,1,833,673,37461
doodle_11.png,Picture 3.png,266,1896,558,2000,2922
doodle_12.png,Picture 4.png,100,3,422,103,3035
